code,date,open,close,high,low,volume
SH.688122,2021-01-18 10:00:00,68.0,67.2,68.76,66.52,1730700.0
SH.688122,2021-01-18 10:30:00,67.2,67.98,68.87,67.2,1404400.0
SH.688122,2021-01-18 11:00:00,67.98,67.89,68.15,67.46,969900.0
SH.688122,2021-01-18 11:30:00,67.89,68.08,68.19,67.68,968500.0
SH.688122,2021-01-18 13:30:00,68.08,68.32,68.58,68.08,424000.0
SH.688122,2021-01-18 14:00:00,68.4,69.17,69.23,68.3,749500.0
SH.688122,2021-01-18 14:30:00,69.17,69.05,69.5,68.71,585600.0
SH.688122,2021-01-18 15:00:00,69.09,68.7,69.38,68.63,681800.0
SH.688122,2021-01-19 10:00:00,69.12,66.75,69.6,66.0,1599300.0
SH.688122,2021-01-19 10:30:00,66.75,66.65,67.16,66.16,1245300.0
SH.688122,2021-01-19 11:00:00,66.66,66.34,66.96,66.22,416200.0
SH.688122,2021-01-19 11:30:00,66.32,64.84,66.49,64.5,1514700.0
SH.688122,2021-01-19 13:30:00,65.0,65.0,65.65,64.0,1239200.0
SH.688122,2021-01-19 14:00:00,64.96,64.18,65.1,63.9,1056100.0
SH.688122,2021-01-19 14:30:00,64.11,64.5,64.6,63.8,1102000.0
SH.688122,2021-01-19 15:00:00,64.6,64.57,64.9,64.36,647700.0
SH.688122,2021-01-20 10:00:00,64.84,67.64,68.02,64.84,1815400.0
SH.688122,2021-01-20 10:30:00,67.55,67.75,68.3,67.16,869000.0
SH.688122,2021-01-20 11:00:00,67.75,67.1,68.15,67.04,442800.0
SH.688122,2021-01-20 11:30:00,67.03,66.45,67.34,66.25,444800.0
SH.688122,2021-01-20 13:30:00,66.49,67.17,67.53,66.3,284800.0
SH.688122,2021-01-20 14:00:00,67.17,67.55,67.58,66.73,323300.0
SH.688122,2021-01-20 14:30:00,67.56,68.0,68.12,67.32,825300.0
SH.688122,2021-01-20 15:00:00,68.1,67.58,68.27,67.45,616100.0
SH.688122,2021-01-21 10:00:00,68.32,68.0,68.5,66.82,800300.0
SH.688122,2021-01-21 10:30:00,68.0,67.81,68.18,67.06,460400.0
SH.688122,2021-01-21 11:00:00,67.8,68.7,68.88,67.36,731000.0
SH.688122,2021-01-21 11:30:00,68.88,69.2,69.5,68.41,1143000.0
SH.688122,2021-01-21 13:30:00,69.2,68.77,69.39,68.31,879200.0
SH.688122,2021-01-21 14:00:00,68.65,68.38,68.88,67.71,468700.0
SH.688122,2021-01-21 14:30:00,68.35,68.66,68.68,67.81,436600.0
SH.688122,2021-01-21 15:00:00,68.66,68.49,68.66,68.05,447200.0
SH.688122,2021-01-22 10:00:00,68.0,71.01,71.44,67.5,1546300.0
SH.688122,2021-01-22 10:30:00,71.2,71.99,72.4,70.78,1179300.0
SH.688122,2021-01-22 11:00:00,72.0,70.25,72.19,70.0,705400.0
SH.688122,2021-01-22 11:30:00,70.25,71.29,71.45,70.09,443400.0
SH.688122,2021-01-22 13:30:00,71.44,71.46,71.5,70.4,483500.0
SH.688122,2021-01-22 14:00:00,71.45,71.57,71.6,70.66,499100.0
SH.688122,2021-01-22 14:30:00,71.57,72.49,72.5,71.25,794900.0
SH.688122,2021-01-22 15:00:00,72.5,71.9,72.5,71.5,540000.0
SH.688122,2021-01-25 10:00:00,72.66,72.21,75.99,72.0,2209800.0
SH.688122,2021-01-25 10:30:00,72.18,73.69,74.66,72.18,730300.0
SH.688122,2021-01-25 11:00:00,73.7,73.51,74.25,73.08,428600.0
SH.688122,2021-01-25 11:30:00,73.62,73.61,74.33,73.15,404800.0
SH.688122,2021-01-25 13:30:00,73.61,72.55,74.13,72.31,587000.0
SH.688122,2021-01-25 14:00:00,72.41,72.06,72.65,71.4,716800.0
SH.688122,2021-01-25 14:30:00,72.06,71.55,72.5,71.5,465500.0
SH.688122,2021-01-25 15:00:00,71.63,71.97,72.0,70.92,353500.0
SH.688122,2021-01-26 10:00:00,70.0,67.7,70.0,67.58,1508900.0
SH.688122,2021-01-26 10:30:00,67.65,67.16,68.26,66.75,998000.0
SH.688122,2021-01-26 11:00:00,67.15,66.04,67.57,66.0,783500.0
SH.688122,2021-01-26 11:30:00,66.04,65.45,66.7,65.29,616000.0
SH.688122,2021-01-26 13:30:00,65.45,66.67,66.99,65.0,431700.0
SH.688122,2021-01-26 14:00:00,66.72,67.0,67.49,66.49,357700.0
SH.688122,2021-01-26 14:30:00,66.98,67.12,67.17,66.15,507400.0
SH.688122,2021-01-26 15:00:00,67.16,66.9,67.66,65.21,1129400.0
SH.688122,2021-01-27 10:00:00,66.9,66.0,67.94,64.88,985500.0
SH.688122,2021-01-27 10:30:00,65.87,65.45,65.87,64.04,1034000.0
SH.688122,2021-01-27 11:00:00,65.58,65.49,66.08,65.12,521400.0
SH.688122,2021-01-27 11:30:00,65.38,65.22,65.79,64.8,656400.0
SH.688122,2021-01-27 13:30:00,65.23,66.68,66.76,65.23,611900.0
SH.688122,2021-01-27 14:00:00,66.7,67.5,67.59,66.29,657300.0
SH.688122,2021-01-27 14:30:00,67.58,67.0,67.61,66.71,428600.0
SH.688122,2021-01-27 15:00:00,67.02,67.28,67.3,66.9,313900.0
SH.688122,2021-01-28 10:00:00,66.11,67.28,67.41,65.77,789200.0
SH.688122,2021-01-28 10:30:00,67.27,65.67,67.27,65.67,511700.0
